severity,code,position_id,event_id,strategy,signal_id,contract_address,entry_time,exit_time,entry_price,exit_price,pnl_pct,reason,anomaly_type,details_json
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_148997,Fcta8TWxGo2VpCT9mBtfHFupTsQk8GqE7nGg2x1yZUw6,2025-08-11T14:59:00+00:00,2025-08-11T19:02:00+00:00,6.831921682459801e-05,0.0001295152295009,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149101,CuM7jCNGFLQpFfnV7ZeUUbBpRWnCsPgTaNj6fgq4pump,2025-08-11T20:03:00+00:00,2025-08-12T02:02:00+00:00,0.0002507171680768,0.0005164704664219,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149155,86y3kqM4Je3VEUs5sGvZhwCGXB5tn9UxWQ4He1JbkMLS,2025-08-12T00:59:00+00:00,2025-08-12T06:52:00+00:00,4.472680637767695e-05,3.810018949652679e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149202,2e1ZJUrpvPa8MC2U3vr5gDyL3myNbA8XGJ6hK2ToJtM5,2025-08-12T05:22:00+00:00,2025-08-12T11:21:00+00:00,0.0003435692485679,0.0012458940583645,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149263,w6iohhdC6zbq2DP1uwtmvXPJibbFroDnni1A222bonk,2025-08-12T11:26:00+00:00,2025-08-12T17:25:00+00:00,0.0002430242708597,0.0005531744073966,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149354,fmGLjVuQfBLbWPo5zxc8sSss3ixMW3u3bRP95uGpump,2025-08-12T20:06:00+00:00,2025-08-12T21:47:00+00:00,0.0010257722724903,0.0046799117115404,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149391,CWsrReZdBGUxwVzLrZZ5U6n6ofzuGdJQ3B9pRXCypump,2025-08-12T23:09:00+00:00,2025-08-13T05:08:00+00:00,0.0003330463358032,0.0004343642661133,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149459,EoX6YR6h7TgvFPT556AiLSchie1MjMEPi3dh4Qapump,2025-08-13T06:28:00+00:00,2025-08-13T12:23:00+00:00,9.557328699654964e-05,9.313371647614505e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149504,8PWair5hvgMiB5MAWKh91i6Ahi2fwbPUcrd89RNrpump,2025-08-13T11:28:00+00:00,2025-08-13T16:20:00+00:00,8.555180033508593e-05,7.408502834455138e-05,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149604,3Sf6oKCeEqCuco4aYtKHHDTBYLAWHiL47QjvkW1UYDEG,2025-08-13T20:56:00+00:00,2025-08-14T02:55:00+00:00,0.0002844854964052,0.0009967069520071,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
P1,position_closed_but_no_close_event,,,Runner_Ladder_2x_5x_10x,tg_1758611100_149645,EuwaFjov8s9EMsQ3EYF55S9HnGxShB9w3WvrpV8rpump,2025-08-14T01:14:00+00:00,2025-08-14T07:11:00+00:00,0.0001300198816976,0.0001069900298801,,,position_closed_but_no_close_event,"{""status"": ""closed"", ""events_count"": 2}"
