severity,code,message,context
P1,missing_events_chain,Closed position 055296462f7e43d4982b00b636e2fc08 has no POSITION_CLOSED event,{'position_id': '055296462f7e43d4982b00b636e2fc08'}
P1,missing_events_chain,Closed position 551f9a78265d4d528c789688c86d8600 has no POSITION_CLOSED event,{'position_id': '551f9a78265d4d528c789688c86d8600'}
P1,missing_events_chain,Closed position 60887a239e0148e1b553cb89bbd48173 has no POSITION_CLOSED event,{'position_id': '60887a239e0148e1b553cb89bbd48173'}
P1,missing_events_chain,Closed position e3e153cd13db408eac010467463f45cd has no POSITION_CLOSED event,{'position_id': 'e3e153cd13db408eac010467463f45cd'}
P1,missing_events_chain,Closed position e627853c5b7d4d9daf8ee74d2fcda3d1 has no POSITION_CLOSED event,{'position_id': 'e627853c5b7d4d9daf8ee74d2fcda3d1'}
P1,missing_events_chain,Closed position 1b41abe3ee25478dadf0ef968ceb756b has no POSITION_CLOSED event,{'position_id': '1b41abe3ee25478dadf0ef968ceb756b'}
P1,missing_events_chain,Closed position bed52097d0df4103a79a0a3a18474b65 has no POSITION_CLOSED event,{'position_id': 'bed52097d0df4103a79a0a3a18474b65'}
P1,missing_events_chain,Closed position d39caa9daabf4445af32e141ac64b30d has no POSITION_CLOSED event,{'position_id': 'd39caa9daabf4445af32e141ac64b30d'}
P1,missing_events_chain,Closed position ee1ca1d666d445f2af4c9da6df44901a has no POSITION_CLOSED event,{'position_id': 'ee1ca1d666d445f2af4c9da6df44901a'}
P1,missing_events_chain,Closed position e6561f30841d42168e44fd89f977fbf2 has no POSITION_CLOSED event,{'position_id': 'e6561f30841d42168e44fd89f977fbf2'}
P1,missing_events_chain,Closed position ef0a2c1052e5474485d04b50fff26ab8 has no POSITION_CLOSED event,{'position_id': 'ef0a2c1052e5474485d04b50fff26ab8'}
P1,missing_events_chain,Closed position 98a08120a0d64731a2fe053852d824c4 has no POSITION_CLOSED event,{'position_id': '98a08120a0d64731a2fe053852d824c4'}
P1,missing_events_chain,Closed position 9e197c3f8c724f379715985b0f8164eb has no POSITION_CLOSED event,{'position_id': '9e197c3f8c724f379715985b0f8164eb'}
P1,missing_events_chain,Closed position f3dfdf4482e24dcda61a5dfde5b69386 has no POSITION_CLOSED event,{'position_id': 'f3dfdf4482e24dcda61a5dfde5b69386'}
P1,missing_events_chain,Closed position 53e7d948654d4a62ae3a02996e202b2c has no POSITION_CLOSED event,{'position_id': '53e7d948654d4a62ae3a02996e202b2c'}
P1,missing_events_chain,Closed position 307087cb86484600bd86667f238a38ef has no POSITION_CLOSED event,{'position_id': '307087cb86484600bd86667f238a38ef'}
P1,missing_events_chain,Closed position 5d35d1fcb6ac427590a41fffe3ca02bd has no POSITION_CLOSED event,{'position_id': '5d35d1fcb6ac427590a41fffe3ca02bd'}
P1,missing_events_chain,Closed position ad297df48a8245ce8ebf188c6ea72609 has no POSITION_CLOSED event,{'position_id': 'ad297df48a8245ce8ebf188c6ea72609'}
P1,missing_events_chain,Closed position 127537caef6e456dbf42b6e7bc440a81 has no POSITION_CLOSED event,{'position_id': '127537caef6e456dbf42b6e7bc440a81'}
P1,missing_events_chain,Closed position 41c7e6f2833b4a7892a19ebea24f1833 has no POSITION_CLOSED event,{'position_id': '41c7e6f2833b4a7892a19ebea24f1833'}
P1,missing_events_chain,Closed position 657ce3ff39ba40f38a11e35315ccb4d6 has no POSITION_CLOSED event,{'position_id': '657ce3ff39ba40f38a11e35315ccb4d6'}
P1,missing_events_chain,Closed position d0f1c53572ec4c14b3db2554e5182def has no POSITION_CLOSED event,{'position_id': 'd0f1c53572ec4c14b3db2554e5182def'}
P1,missing_events_chain,Closed position 21a320fcbabf4300b8dbc60e1e7b2a5e has no POSITION_CLOSED event,{'position_id': '21a320fcbabf4300b8dbc60e1e7b2a5e'}
P1,missing_events_chain,Closed position 5f4cf30a16df4fa4a04cd14f39c9ad94 has no POSITION_CLOSED event,{'position_id': '5f4cf30a16df4fa4a04cd14f39c9ad94'}
P1,missing_events_chain,Closed position a55e7595f2484435ae738f6b628f1442 has no POSITION_CLOSED event,{'position_id': 'a55e7595f2484435ae738f6b628f1442'}
P1,missing_events_chain,Closed position a256bdeae7b9494f95203ee103a455c6 has no POSITION_CLOSED event,{'position_id': 'a256bdeae7b9494f95203ee103a455c6'}
P1,missing_events_chain,Closed position 33e1c2d1c8f4436baaeefb59ebdf52fd has no POSITION_CLOSED event,{'position_id': '33e1c2d1c8f4436baaeefb59ebdf52fd'}
P1,missing_events_chain,Closed position 1972ffcc888648159977729b6e50a8a1 has no POSITION_CLOSED event,{'position_id': '1972ffcc888648159977729b6e50a8a1'}
P1,missing_events_chain,Closed position eaf623ab09d344c3a0c0e21c9dc89429 has no POSITION_CLOSED event,{'position_id': 'eaf623ab09d344c3a0c0e21c9dc89429'}
P1,missing_events_chain,Closed position f8124ad57989467d8579a0761c8280ca has no POSITION_CLOSED event,{'position_id': 'f8124ad57989467d8579a0761c8280ca'}
P1,missing_events_chain,Closed position 95551b9beb10437d8a646bd02bbaf2d3 has no POSITION_CLOSED event,{'position_id': '95551b9beb10437d8a646bd02bbaf2d3'}
